Australian Bureau of Statistics

"2016 Census - Counting Persons, Place of Usual Residence (MB)"
"SSC (UR) by AGE5P - Age in Five Year Groups"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"
"Percentage: Row"

"AGE5P - Age in Five Year Groups","0-4 years","5-9 years","10-14 years","15-19 years","20-24 years","25-29 years","30-34 years","35-39 years","40-44 years","45-49 years","50-54 years","55-59 years","60-64 years","65-69 years","70-74 years","75-79 years","80-84 years","85-89 years","90-94 years","95-99 years","100 years and over","Total",
"Darra",7.4902051,6.3609127,5.462088,5.5081816,9.1726204,10.3710532,9.4491818,7.1905969,6.9831758,5.9460705,5.5081816,5.5542752,4.9089652,3.2265499,2.2124914,1.8898364,1.498041,0.6683568,0.6683568,0.1152339,0,100,
"Deagon",5.6341862,5.8519325,5.9063691,5.5797496,5.0898204,5.0081655,6.7229178,6.6684812,8.9275993,7.5666848,7.3761568,6.2874251,5.6886228,4.9265106,4.2732716,3.4567229,2.3952096,1.9869352,0.7076756,0.0816549,0,100,
"Doolandella",10.2303382,7.7609463,6.0800996,7.0969081,8.2589749,10.0020751,11.060386,8.1552189,6.8686449,6.0385972,5.6443245,4.5445113,2.7184063,2.2618801,1.4318323,0.8092965,0.3527703,0.4150239,0.1867607,0,0,100,
"Drewvale",9.7588209,9.200536,7.9946405,6.9227334,5.1808843,6.1411344,9.7364895,9.4238499,8.6645824,5.5828495,5.0022331,4.600268,3.5730237,2.523448,1.965163,1.4515409,0.9155873,0.7592675,0.2456454,0.1786512,0,100,
"Durack (Qld)",6.8537074,6.3727455,6.252505,5.8784235,7.1476286,7.3213093,7.7354709,6.8269873,6.1589846,6.0253841,5.7715431,5.1837007,5.0501002,4.3286573,3.8610554,3.1663327,2.7120908,2.1509686,1.1623246,0.1870407,0,100,
"Dutton Park",3.9506173,4.691358,6.0740741,6.3703704,11.3580247,12.2469136,10.0740741,6.3209877,6.6666667,5.7283951,5.6296296,5.1358025,3.8024691,3.4074074,3.4074074,2.0246914,1.8765432,0.4444444,0.5925926,0,0,100,
"Eagle Farm",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,
"East Brisbane",4.6029337,3.5912999,3.9622323,5.8506154,12.4093745,14.9721801,11.5494858,8.0930703,6.3227112,5.6651492,5.5471253,4.5186309,4.1476985,3.0349014,2.276176,1.466869,1.3319845,0.3709324,0.2529084,0,0,100,
"Eight Mile Plains",6.1484237,5.978722,4.6733242,5.6132106,9.7904836,10.2408459,9.2683245,7.6626852,6.0766269,5.7633314,5.371712,5.365185,5.0845245,4.3535017,2.7804974,2.3301351,1.5795314,1.2662359,0.5678481,0.1762287,0.0326349,100,
"Ellen Grove",8.3046175,9.2694693,8.5113715,8.0289456,7.1674707,7.8566506,8.2701585,7.4776017,6.5816678,6.0992419,5.2722261,5.1343901,3.9972433,3.2736044,2.6878015,0.9648518,0.5858029,0.206754,0,0,0,100,
"Enoggera",6.3990692,6.030638,4.4793485,6.4766337,15.1444638,10.3354664,7.989141,8.2800078,6.7481094,6.0888113,5.5846422,4.072135,3.3158813,2.3463254,2.1524142,1.7839829,1.2798138,1.2216405,0.4266046,0.1745201,0,100,
"Enoggera Reservoir",0,0,30.7692308,0,0,0,0,0,26.9230769,0,0,0,0,0,23.0769231,0,0,0,0,0,0,100,
"Everton Park",6.6787004,5.6633574,4.8172383,4.9526173,8.4724729,9.3524368,9.4426895,7.8181408,6.9607401,5.9679603,5.291065,4.9300542,4.3208484,4.3208484,3.5988267,3.2490975,2.1999097,1.3876354,0.5640794,0.1128159,0,100,
"Fairfield (Qld)",4.1946309,4.4295302,4.0268456,6.442953,16.7449664,13.2214765,9.1946309,6.442953,6.4765101,6.442953,6.5100671,5.5033557,3.2885906,2.3825503,1.409396,1.442953,0.8724832,0.8053691,0.4362416,0.1006711,0,100,
"Ferny Grove",6.231454,7.540583,6.9994763,7.208937,5.0968755,4.8525048,5.6554372,6.6852854,8.5006109,7.208937,6.7725607,5.9521732,6.5631,6.2838192,3.7528364,1.9375109,0.9076628,1.0996684,0.9251178,0.2269157,0,100,
"Fig Tree Pocket",5.0939664,8.5064293,10.2621167,8.5806133,5.7616222,2.8189911,2.5717112,6.206726,8.1602374,9.248269,8.6795252,6.5529179,5.3165183,4.5252226,3.5361029,2.2007913,1.0633037,0.5687438,0.2967359,0,0,100,
"Fitzgibbon",9.5633728,5.6213541,4.5253668,3.8359555,6.9471451,9.9169171,12.6745625,9.6871133,7.2123033,5.2678098,5.0910377,4.295563,3.959696,3.0758352,2.4041011,2.5278416,1.5732721,1.3257911,0.4242531,0.0530316,0,100,
"Forest Lake",7.0792209,7.6032841,7.4023932,7.5203075,6.3062276,6.2319853,6.8128221,7.2670102,8.074941,8.2933007,7.1665648,5.7253909,4.3846624,3.6553411,2.6945585,1.7425103,1.1704079,0.5764696,0.270766,0.0174688,0.0131016,100,
"Fortitude Valley",2.4232865,1.1471179,0.6739317,2.667049,14.8551764,22.8563235,19.1712073,10.2523659,6.5672498,4.846573,3.9575566,3.3266418,2.4806424,1.9357614,1.1901348,0.4875251,0.4158302,0.4588471,0.1720677,0.0573559,0,100,
"Gaythorne",7.0059484,4.957039,4.1969597,4.7918044,11.9629874,12.9543952,11.8307997,7.3033708,7.6007931,6.1797753,4.494382,3.9656312,2.709848,3.5360212,2.3463318,2.0158625,0.8261732,0.42961,0.4957039,0.1982816,0,100,
"Geebung",6.505295,7.2401124,6.894316,4.7979252,5.9649881,7.521072,7.7804193,7.3265615,8.7529717,7.0456019,5.7272531,5.5543549,4.4089043,3.5876378,3.0689432,2.9608818,2.3989626,1.6857575,0.6051437,0.0864491,0,100,
"Gordon Park",6.3563327,5.741966,5.4111531,4.9858223,7.5614367,9.0973535,9.8771267,8.4357278,7.963138,8.4593573,6.4508507,5.9073724,4.3241966,2.9773157,1.8194707,1.8667297,1.3232514,0.7561437,0.3780718,0,0,100,
"Graceville",7.3802331,8.1786793,7.034959,7.0996979,6.3444109,4.8985757,6.1286146,7.3586534,8.1139404,7.8118256,6.9917997,5.4596461,4.359085,4.2296073,2.9564091,1.683211,1.5753129,1.4026759,0.5610703,0.2805352,0.1510574,100,
"Grange (Qld)",7.4947953,9.622947,8.6282674,5.8986815,5.4360398,5.0890585,5.2741152,8.4432107,9.8080037,10.4557021,6.6620402,4.9040019,3.4929447,2.9377747,1.7349063,1.2722646,1.5035855,1.0409438,0.3007171,0.2313208,0,100,
"Greenslopes",5.6861428,4.1302888,3.3691516,4.6787553,11.0812626,13.3982539,13.062458,8.4620551,7.2308037,6.2793821,4.7123349,4.4772778,3.7497202,3.3019924,2.2050593,1.5334677,1.208865,0.9066488,0.4253414,0.1343183,0,100,
"Gumdale",6.5944418,9.2322186,9.4677343,9.1851154,5.4639661,4.2863872,5.0400377,7.3480923,8.6669807,8.5256712,6.2176166,5.4639661,5.1813472,3.3443241,1.9783325,2.119642,0.6594442,0.4239284,0.1884126,0,0,100,
"Hamilton (Qld)",3.7037037,3.4177034,3.4749035,4.3472043,8.4799085,11.5258115,10.3818104,7.8078078,6.8354068,7.2501073,7.3931074,5.977406,5.8630059,4.5903046,3.3605034,2.3595024,1.5444015,1.0868011,0.3861004,0.0572001,0.0858001,100,
"Hawthorne",7.3547094,7.4148297,6.4529058,6.3326653,6.7134269,7.3747495,9.2184369,8.0360721,9.5591182,8.6973948,6.6132265,5.3507014,4.3687375,2.745491,1.6432866,0.8216433,0.6212425,0.4008016,0.2204409,0.0601202,0,100,
"Heathwood",10.9123435,7.8354204,6.940966,7.6207513,6.3685152,7.4776386,10.1610018,9.9105546,8.2647585,7.6207513,5.7602862,4.4722719,3.0769231,2.039356,0.7155635,0.4651163,0.3577818,0.2146691,0.1431127,0,0,100,
"Hemmant",7.2628044,7.9764903,6.2132662,5.8354324,5.0377834,7.8925273,8.6062133,7.7665827,8.6062133,7.472712,6.1293031,5.961377,5.5835432,4.5759866,1.9311503,0.9655751,0.8816121,0.5457599,0.2518892,0,0,100,
"Hendra",5.9688581,6.4230104,6.9420415,5.8823529,5.9688581,5.4065744,7.050173,6.6392734,7.2231834,8.6721453,8.0882353,6.9636678,5.1038062,4.9524221,3.5250865,2.2058824,1.0596886,1.2110727,0.432526,0.1513841,0,100,
"Herston",4.4243792,3.6117381,3.0248307,6.2302483,19.9097065,14.9887133,9.4808126,7.6297968,7.3137698,5.5530474,4.1083521,4.1083521,3.1151242,2.0767494,1.3092551,1.3092551,0.6772009,0.9480813,0.3611738,0,0,100,
"Highgate Hill",3.2956381,3.2310178,6.0258481,6.6074313,12.2617124,11.0662359,9.2407108,6.2843296,7.3828756,7.7059774,6.6235864,5.7835218,4.4264943,2.8756058,2.3424879,1.7770598,1.3408724,1.0177706,0.5169628,0.1292407,0,100,
"Holland Park",6.9824821,7.6363188,7.3155687,6.0202319,6.180607,6.797434,7.5622995,8.0680977,8.7712805,7.6116457,6.1559339,5.0209721,4.1574143,3.3432026,2.3562793,1.6284234,1.5790772,1.6284234,1.0115963,0.1850481,0.0370096,100,
"Holland Park West",6.6488945,6.2882233,4.6730438,5.2218912,7.9034029,7.8877215,9.3774502,8.1072605,7.7152266,6.8684334,5.833464,5.2218912,4.7514505,4.0614709,2.3522032,2.650149,2.211071,1.5838168,0.6429355,0.1568135,0,100,
"Inala",8.0662537,8.0393213,7.5410719,7.9450579,7.6959332,6.0867223,5.797199,5.460544,6.4099111,6.4233773,6.6119041,5.9655265,4.7670347,3.972529,3.1039591,2.8750337,1.817937,1.077296,0.3433881,0.0807972,0,100,
"Indooroopilly",4.7393365,4.8047067,4.9599608,7.3868279,16.1300866,10.2794574,7.7953914,6.5533584,6.2591927,5.4992646,4.968132,4.5922536,4.7393365,3.6525576,2.8109168,1.8548782,1.152149,1.1930054,0.5311325,0.1062265,0,100,
"Jamboree Heights",7.5008083,7.1128354,5.6579373,5.4316198,6.2075655,6.3692208,8.7293889,8.76172,7.4684772,8.1150986,5.5609441,5.5932751,4.623343,5.7872616,2.9097963,1.5518914,1.2609117,0.5496282,0.452635,0,0,100,
"Jindalee (Qld)",6.3897764,7.1791017,6.4837437,6.7468521,5.393723,5.0742342,7.0099605,7.6301447,7.8368728,7.7804924,6.0514941,5.1306145,5.149408,5.4688968,4.7171584,3.0069536,1.7477918,0.9960534,0.2255215,0.0563804,0,100,
"Kalinga",6.920904,9.2278719,7.0150659,6.920904,5.9792844,4.8022599,4.8493409,6.1676083,9.8870056,8.7570621,6.873823,5.7438795,4.3785311,3.2956685,2.6365348,0.8474576,1.5536723,1.9303202,0.9416196,0.6591337,0,100,
"Kangaroo Point (Qld)",2.542478,1.6991194,1.2650378,3.8447228,11.0504775,16.1602381,13.5061392,7.8382736,5.8539005,5.5438422,5.6306586,6.0275332,5.0601513,5.0601513,3.2246062,1.9719707,1.2402332,1.2526355,0.9425772,0.1984373,0.0992187,100,
"Karana Downs",6.1674009,7.6962944,9.173361,6.7374968,4.4571132,4.327546,5.9600933,7.0743716,8.7846592,7.7999482,7.385333,7.3594195,5.597305,5.4159109,2.9541332,1.8657683,0.75149,0.3887017,0,0,0,100,
"Karawatha",0,0,25,0,0,0,0,0,0,0,25,18.75,31.25,0,18.75,0,0,0,0,0,0,100,
"Kedron",6.7094017,6.4316239,6.292735,5.2564103,8.215812,9.7435897,9.1452991,7.9487179,8.6538462,7.2542735,6.0470085,4.6901709,3.5683761,3.1623932,1.7307692,1.5918803,1.3568376,1.3888889,0.6517094,0.1388889,0.0320513,100,
"Kelvin Grove",4.4284633,4.3906132,3.8733283,8.9200101,22.6848347,14.3199596,10.5727984,6.6994701,5.5387333,4.781731,3.1415594,2.5107242,2.006056,2.0439061,1.1859702,0.769619,0.769619,0.5803684,0.681302,0.1135503,0.0757002,100,
"Kenmore",6.0379464,7.3883929,7.4888393,7.1205357,5.7142857,4.2857143,5.1785714,6.5513393,7.6116071,8.1473214,6.5736607,5.3794643,4.6540179,4.8549107,4.6986607,3.7276786,2.4888393,1.484375,0.5915179,0.1227679,0,100,
"Kenmore Hills",3.8253638,5.3638254,7.6507277,8.3991684,6.4864865,2.6195426,2.7858628,3.991684,6.9022869,7.8586279,7.4012474,6.985447,6.2370062,6.8191268,5.031185,3.950104,2.5363825,2.2869023,1.8295218,0.5405405,0,100,
"Keperra",7.4313409,6.9173153,5.5955353,5.5661624,5.2136878,6.080188,7.3872815,7.534146,7.5488324,6.3298575,5.3899251,4.62623,5.0374504,4.9199589,4.2737553,3.3778822,2.8785431,2.3645176,1.2483478,0.1615509,0.0734322,100,
"Kholo",5.0761421,6.5989848,7.6142132,6.5989848,5.3299492,4.3147208,2.7918782,7.6142132,9.8984772,7.6142132,7.8680203,10.6598985,5.3299492,6.8527919,4.0609137,3.2994924,1.0152284,0.7614213,0,0,0,100,
"Kuraby",7.6591021,8.473113,8.0907745,7.6591021,7.3507647,7.0547607,7.1534287,7.9304391,6.9437593,6.5737543,6.0064134,5.402072,4.5510607,3.5890479,3.0093735,1.2580168,0.8880118,0.3823384,0.222003,0,0,100,
"Lake Manchester",0,15,25,15,0,0,0,0,15,15,0,0,0,20,0,0,0,0,0,0,0,100,
"Lota",6.6318698,7.1845256,6.6625729,6.079214,5.3730427,3.5001535,5.2502303,6.6625729,8.0749156,8.7503838,7.8292908,7.307338,5.3423396,4.9739024,3.2852318,2.5483574,1.4430457,1.3816395,1.0132023,0.2456248,0.1228124,100,
"Lutwyche",5.1519537,3.7916064,3.2995658,4.1099855,12.9956585,16.1794501,12.5904486,8.5672938,6.9175109,5.6439942,5.6150507,4.4862518,3.5021708,2.1997106,1.5918958,1.5340087,0.6946454,0.4052098,0.2026049,0.1736614,0,100,
"Macgregor (Qld)",3.5573799,4.0704635,4.2414914,6.6700872,15.7174619,12.4850351,7.8672824,5.4899949,5.4899949,5.1821447,4.7203694,4.3954165,4.3270053,5.0282196,4.2585942,2.9587823,1.693176,1.0603728,0.4446725,0.0513084,0,100,
"Mackenzie (Brisbane - Qld)",6.4885496,7.9198473,9.2080153,9.9236641,6.6316794,3.9599237,4.7232824,5.9160305,9.7805344,9.351145,8.3969466,6.7748092,4.5801527,3.148855,1.9083969,0.5248092,0.5248092,0.5248092,0.1908397,0,0,100,
"Manly (Qld)",5.4679803,6.6995074,5.5665025,6.2315271,4.7536946,4.1871921,5.2955665,5.6896552,7.6847291,9.0394089,9.3596059,8.1527094,7.5369458,5.5172414,3.7931034,2.1428571,1.7487685,0.8374384,0.4187192,0.0985222,0,100,
"Manly West",6.4044756,7.2227789,7.0808283,6.9054776,5.243821,4.5591182,5.9285237,6.7301269,8.1329325,7.740481,6.8804275,5.8533734,4.8096192,4.4422178,4.0414162,3.1897128,2.4298597,1.6616566,0.7014028,0.1002004,0.0250501,100,
"Mansfield (Qld)",5.1833123,7.0566602,8.1829675,7.4589128,6.7348581,5.0453971,5.8499023,6.4820136,7.7347431,7.8726583,6.8382944,5.3671992,4.7350879,4.9304678,4.1834272,2.9077118,1.8848408,1.0918285,0.2988162,0.1034364,0,100,
